locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Mittelfeld-Rosenmeer (Grand Est Region, Bas-Rhin Department, Molsheim Arrondissement, Rosheim)",BrunelPruvostPNAS2020,1,"10,000-5,000 BP",4,5,0.25163787603378296,48.49666,7.47052,europe,5513.714216940072
"Port Blanc (Bretagne Region, Morbihan Department, Lorient Arrondissement, Saint-Pierre Quiberon)",PattersonReichNature2021,1,"10,000-5,000 BP",5,10,0.25165170431137085,47.523479,-3.154599,europe,6263.997647359904
"Lugar do Canto (Santarém, Valverde)",MartinianoBradleyPLosGenet2017,1,"10,000-5,000 BP",4,6,0.2516915798187256,39.414,-8.822,europe,6807.387006737705
"Khvalynsk-1 (Saratov Oblast, Khvalynsky District, Khvalynsk Town)",AkbariReichNature2026; LazaridisReichNature2025,1,"10,000-5,000 BP",5,10,0.2517772912979126,52.3533694,48.0783667,asia,5296.97652850391
"Asparn Schletz (Niederösterreich, Mistelbach)",AkbariReichNature2026; GelabertReichNatHumBehav2024; MarchiExcoffierCell2022; MathiesonReichNature2018,1,"10,000-5,000 BP",91,3824,0.2518826127052307,48.579751999999985,16.469310000000004,europe,4936.453410585629
"Rákóczifalva-Bivaly-Tó (Jász-Nagykun-Szolnok County, Szolnok)",AkbariReichNature2026; GelabertReichNatHumBehav2024; Szécsényi-NagySiklósiNatComm2025,1,"10,000-5,000 BP",20,190,0.251916766166687,47.06423199999999,20.211518000000005,europe,4615.5427242531605
Pietrele Măgura Gorgana (Giurgiu County),PenskeHaakNature2023,1,"10,000-5,000 BP",50,1058,0.2519725561141968,44.06806,26.156169999999996,europe,4071.7205204779057
"Stuttgart-Mühlhausen-2 (Baden-Württemberg, Stuttgart-Stadtkreis)",MathiesonReichNature2015; RivollatHaakSciAdv2020,1,"10,000-5,000 BP",9,11,0.2519899010658264,48.78001,9.18,europe,5408.365966248827
"Barcın-Höyük (Bursa, Yenişehir)",AkbariReichNature2026; GokhmanCarmelNatComm2020; HofmanováBurgerPNAS2016; LazaridisReichNature2025; LazaridisReichScience2022; MarchiExcoffierCell2022; MathiesonReichNature2015,1,"10,000-5,000 BP",26,300,0.2520923912525177,40.303700000000006,29.608500000000006,asia,3598.575019842502
"Varna (Varna Province, Varna Municipality)",MathiesonReichNature2018; PenskeHaakNature2023,1,"10,000-5,000 BP",27,299,0.25227585434913635,43.21309999999999,27.864400000000003,europe,3944.9787606016303
"Tepecik-Ciftlik (Niğde, Çiftlik)",KılınçGötherströmCurrBiol2016,1,"10,000-5,000 BP",5,6,0.2523294687271118,38.172218,34.49387,asia,3409.7082309927546
"Obernai (Grand Est Region, Bas-Rhin Department, Sélestat Arrondissement)",RivollatHaakSciAdv2020,1,"10,000-5,000 BP",11,55,0.2524261474609375,48.459999999999994,7.480000000000001,europe,5511.687774084776
"Nitra-Mlynárce (Nitra Region, Nitra District, Nitra)",GelabertReichNatHumBehav2024,1,"10,000-5,000 BP",5,6,0.25244125723838806,48.317816,18.049592,europe,4828.870473429743
"Boncuklu (Konya, Karatay)",AltınışıkSomelSciAdv2022; FeldmanKrauseNatComm2019,1,"10,000-5,000 BP",12,25,0.2524869740009308,38.215300000000006,39.75260000000001,asia,3662.8217398512033
"Gubakút (Heves County, Füzesabony, Falu)",GelabertReichNatHumBehav2024,1,"10,000-5,000 BP",6,15,0.2526496350765228,47.74794500000001,20.412493,europe,4660.306617079063
