locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Asparn Schletz (Niederösterreich, Mistelbach)",AkbariReichNature2026; GelabertReichNatHumBehav2024; MarchiExcoffierCell2022; MathiesonReichNature2018,1,"10,000-5,000 BP",91,3824,0.251883,48.579751999999985,16.469310000000004,europe,4936.5
"Rákóczifalva-Bivaly-Tó (Jász-Nagykun-Szolnok County, Szolnok)",AkbariReichNature2026; GelabertReichNatHumBehav2024; Szécsényi-NagySiklósiNatComm2025,1,"10,000-5,000 BP",20,190,0.251917,47.06423199999999,20.211518000000005,europe,4615.5
Pietrele Măgura Gorgana (Giurgiu County),PenskeHaakNature2023,1,"10,000-5,000 BP",50,1058,0.251973,44.06806,26.156169999999996,europe,4071.7
"Stuttgart-Mühlhausen-2 (Baden-Württemberg, Stuttgart-Stadtkreis)",MathiesonReichNature2015; RivollatHaakSciAdv2020,1,"10,000-5,000 BP",9,11,0.25199,48.78001,9.18,europe,5408.4
"Barcın-Höyük (Bursa, Yenişehir)",AkbariReichNature2026; GokhmanCarmelNatComm2020; HofmanováBurgerPNAS2016; LazaridisReichNature2025; LazaridisReichScience2022; MarchiExcoffierCell2022; MathiesonReichNature2015,1,"10,000-5,000 BP",26,300,0.252092,40.303700000000006,29.608500000000006,asia,3598.6
"Varna (Varna Province, Varna Municipality)",MathiesonReichNature2018; PenskeHaakNature2023,1,"10,000-5,000 BP",27,299,0.252276,43.21309999999999,27.864400000000003,europe,3945.0
"Tepecik-Ciftlik (Niğde, Çiftlik)",KılınçGötherströmCurrBiol2016,1,"10,000-5,000 BP",5,6,0.252329,38.172218,34.49387,asia,3409.7
"Obernai (Grand Est Region, Bas-Rhin Department, Sélestat Arrondissement)",RivollatHaakSciAdv2020,1,"10,000-5,000 BP",11,55,0.252426,48.459999999999994,7.480000000000001,europe,5511.7
"Nitra-Mlynárce (Nitra Region, Nitra District, Nitra)",GelabertReichNatHumBehav2024,1,"10,000-5,000 BP",5,6,0.252441,48.317816,18.049592,europe,4828.9
"Boncuklu (Konya, Karatay)",AltınışıkSomelSciAdv2022; FeldmanKrauseNatComm2019,1,"10,000-5,000 BP",12,25,0.252487,38.215300000000006,39.75260000000001,asia,3662.8
